bus,load_meter_id,load_code,load_name,load_profile_name,load_daily_avg_kWh,load_yearly_avg_MWh,load-ev_init_kW,pv_size,ev_name,ev_profile_name,ev_max_ac_charging_kW,pv_integration_year,ev_integration_year
5,1015,1,L1,load_profile_11.csv,22.251273972602743,8.121715000000002,2.464,,,,,,
7,1053,1,L2,load_profile_38.csv,28.95675890410959,10.569217,1.26,,EV1,ev_profile_41.csv,11,,10
10,1019,3,L3,load_profile_14.csv,28.40810410958904,10.368958,1.91,,,,,,
11,1002,1,L4,load_profile_3.csv,9.96031506849315,3.635515,0.444,24,,,,8,
12,1058,1,L5,load_profile_43.csv,20.24973150684931,7.391151999999999,0.52,,,,,,
13,1115,1,L6,load_profile_85.csv,12.86940821917808,4.697334,0.16,,,,,,
21,1031,3,L7,load_profile_23.csv,33.849671232876716,12.35513,0.314,10,,,,4,
24,1067,1,L8,load_profile_51.csv,19.71039726027397,7.194295,1.426,24,,,,1,
25,1013,1,L9,load_profile_9.csv,11.463043835616437,4.184011,0.214,24,,,,7,
29,1057,1,L10,load_profile_42.csv,44.473780821917806,16.23293,2.6,,,,,,
30,1003,1,L11,load_profile_4.csv,29.857808219178082,10.898099999999998,1.198,,,,,,
33,1074,1,L12,load_profile_56.csv,28.161268493150686,10.278863,2.632,,EV2,ev_profile_3.csv,11,,7
34,1077,1,L13,load_profile_59.csv,14.947898630136985,5.455982999999999,0.808,,,,,,
37,1082,1,L14,load_profile_62.csv,19.99977808219178,7.299919,1.32,24,,,,6,
39,1042,1,L15,load_profile_31.csv,27.53248219178082,10.049355999999998,0.242,,EV3,ev_profile_2.csv,11,,2
40,1052,1,L16,load_profile_37.csv,17.418687671232878,6.3578209999999995,2.442,,,,,,
42,1059,1,L17,load_profile_44.csv,41.524142465753414,15.156311999999998,4.65,,EV4,ev_profile_4.csv,11,,1
45,1014,1,L18,load_profile_10.csv,28.00492876712329,10.221799,2.128,10,,,,2,
46,1084,1,L19,load_profile_64.csv,11.731917808219178,4.28215,0.756,,,,,,
47,1085,1,L20,load_profile_65.csv,24.510284931506853,8.946254000000001,1.666,,EV5,ev_profile_6.csv,11,,5
49,1108,1,L21,load_profile_81.csv,41.908353424657534,15.296548999999999,1.602,,,,,,
50,1109,1,L22,load_profile_82.csv,52.243964383561654,19.069047,4.83,24,,,,10,
52,1006,1,L23,load_profile_7.csv,21.867098630136987,7.981491,1.294,,EV6,ev_profile_50.csv,22,,3
54,1086,1,L24,load_profile_66.csv,6.118021917808219,2.233078,0.292,,EV7,ev_profile_35.csv,11,,9
57,1119,1,L25,load_profile_88.csv,36.02140547945205,13.147812999999998,0.582,24,,,,4,
60,1039,1,L26,load_profile_29.csv,36.026895890410955,13.149816999999999,3.68,24,,,,6,
62,1021,2,L27,load_profile_16.csv,13.743356164383563,5.016325000000001,0.228,,EV8,ev_profile_24.csv,22,,11
64,1071,1,L28,load_profile_53.csv,10.985936986301368,4.009867,0.662,10,,,,10,
66,1122,1,L29,load_profile_91.csv,19.26176438356164,7.030544,1.118,,EV9,ev_profile_46.csv,22,,9
67,1123,1,L30,load_profile_92.csv,17.165,6.265224999999999,0.64,,EV10,ev_profile_40.csv,22,,2
72,1132,1,L31,load_profile_97.csv,22.966071232876715,8.382616000000002,0.558,,,,,,
73,1133,1,L32,load_profile_98.csv,12.74418904109589,4.651629,0.502,10,,,,3,
75,1024,1,L33,load_profile_18.csv,17.370205479452054,6.340124999999999,1.838,,EV11,ev_profile_25.csv,22,,8
76,1136,1,L34,load_profile_99.csv,14.11649863013699,5.152522000000001,0.758,,EV12,ev_profile_52.csv,22,,10
77,1139,1,L35,load_profile_101.csv,40.50556164383561,14.784529999999997,1.612,10,EV13,ev_profile_34.csv,22,11,8
80,1018,1,L36,load_profile_13.csv,45.984947945205484,16.784506,2.312,,EV14,ev_profile_32.csv,11,,4
81,1140,1,L37,load_profile_102.csv,37.160657534246575,13.563640000000001,2.576,10,,,,5,
83,1101,2,L38,load_profile_77.csv,2.8573397260273974,1.042929,0.1,,EV15,ev_profile_5.csv,22,,7
87,1060,1,L39,load_profile_45.csv,15.856898630136987,5.787768,2.978,,,,,,
88,1093,1,L40,load_profile_71.csv,10.618767123287672,3.8758500000000002,0.196,10,,,,7,
93,1143,1,L41,load_profile_105.csv,41.816290410958906,15.262946000000001,2.182,,,,,,
95,1147,1,L42,load_profile_108.csv,28.896134246575343,10.547089,1.166,10,,,,9,
96,1148,1,L43,load_profile_109.csv,18.25721095890411,6.663882,1.648,10,,,,10,
97,1062,1,L44,load_profile_47.csv,16.90817808219178,6.1714850000000006,3.878,24,EV16,ev_profile_23.csv,11,2,6
101,1153,1,L45,load_profile_110.csv,18.18441095890411,6.63731,2.186,24,,,,9,
102,1155,1,L46,load_profile_112.csv,40.2754301369863,14.700532,2.06,24,,,,9,
103,1061,1,L47,load_profile_46.csv,18.106364383561647,6.608823,0.936,24,,,,3,
106,1156,1,L48,load_profile_113.csv,28.269780821917813,10.318470000000001,3.088,10,,,,11,
107,1032,3,L49,load_profile_24.csv,19.475506849315067,7.108560000000001,0.562,,,,,,
110,1157,1,L50,load_profile_114.csv,33.42825205479451,12.201311999999998,1.466,10,,,,5,
112,1160,1,L51,load_profile_115.csv,37.36858082191782,13.639532,0.15,,EV17,ev_profile_27.csv,11,,11
113,1054,1,L52,load_profile_39.csv,6.118021917808219,2.233078,0.04,,,,,,
114,1168,1,L53,load_profile_120.csv,36.23224657534247,13.224770000000003,0.852,10,,,,8,
115,1005,1,L54,load_profile_6.csv,30.657353424657536,11.189934000000001,3.124,24,,,,8,
116,1036,1,L55,load_profile_27.csv,23.336057534246578,8.517661,1.778,24,,,,11,
